#{"t_start": 1789608415.906354, "env_id": "None"}
r,l,t
9.8,53,0.549747
56.9,31,0.552683
41.1,39,0.556253
55.6,44,0.560592
56.8,32,0.563577
40.2,48,0.567938
-135.5,55,0.572895
-84.1,41,0.576596
40.1,50,0.581025
25.4,45,0.585016
-86.8,67,0.59145
7.9,71,0.598071
40.2,49,0.602991
86.6,33,0.606092
26.6,36,0.609464
41.4,37,0.612867
38.7,56,0.617967
72.1,29,0.620607
40.5,45,0.62467
41.6,34,0.627756
-94.7,48,0.632065
87.2,29,0.634697
72.2,28,0.637237
25.6,44,0.641239
24.5,56,0.646254
56.8,33,0.649229
40.5,45,0.653293
25.8,42,0.65707
25.4,47,0.661271
72.1,29,0.663877
70.5,46,0.667975
26.0,40,0.671536
69.2,56,0.676537
71.8,32,0.6794
56.4,37,0.682727
-85.5,55,0.687626
56.3,39,0.691104
55.7,43,0.694933
72.2,28,0.697456
40.5,42,0.70122
24.3,57,0.706303
-85.0,51,0.710841
-105.1,51,0.715377
71.2,38,0.718796
87.8,22,0.72078
115.9,40,0.724357
86.5,35,0.727475
26.4,36,0.730739
11.2,38,0.971092
56.9,30,0.973906
86.5,35,0.977105
86.4,35,0.980322
56.5,36,0.983593
40.6,41,0.987298
71.0,38,0.990761
-85.0,50,0.995272
56.8,33,0.998262
25.6,44,1.002221
102.2,29,1.004835
102.4,26,1.007197
87.2,28,1.009731
87.6,24,1.011895
10.3,47,1.016089
40.6,43,1.019931
86.7,33,1.022863
26.6,34,1.025891
24.7,53,1.030564
87.7,23,1.032616
70.6,44,1.036507
55.5,45,1.040479
40.8,42,1.044191
56.0,39,1.047641
87.3,27,1.050055
55.9,42,1.053776
85.8,43,1.057574
26.0,41,1.061209
41.4,36,1.064406
71.4,36,1.067611
102.5,25,1.069848
101.3,36,1.073021
56.5,35,1.076137
87.2,28,1.078631
71.5,35,1.081721
56.0,40,1.085231
85.7,42,1.088931
72.1,29,1.091496
70.6,43,1.095291
72.5,25,1.097503
56.7,33,1.100421
56.4,36,1.103599
41.1,39,1.107045
71.7,29,1.109625
72.0,28,1.112101
42.2,28,1.114572
88.0,20,1.116354
56.8,32,1.119193
41.7,33,1.12213
72.0,31,1.124875
72.1,29,1.127449
55.7,43,1.131244
87.4,27,1.133636
85.3,46,1.137689
73.0,20,1.139481
86.7,31,1.142228
87.2,28,1.144705
87.0,31,1.147454
71.2,38,1.346866
72.2,29,1.349558
87.5,25,1.351813
87.5,25,1.354048
103.0,20,1.355827
88.5,15,1.357182
101.0,40,1.360843
86.3,37,1.364484
102.1,29,1.36717
57.0,31,1.370207
103.5,15,1.371681
87.5,25,1.374038
72.0,30,1.376819
56.3,37,1.380188
87.5,25,1.382465
72.4,26,1.384866
72.7,23,1.386965
11.2,38,1.390399
87.5,25,1.392681
102.1,27,1.395137
102.8,22,1.397141
72.0,30,1.399871
88.2,18,1.401497
57.0,30,1.404224
71.6,35,1.40744
71.7,32,1.410353
102.2,28,1.412898
86.8,32,1.415796
72.7,24,1.417984
86.3,37,1.421329
102.6,24,1.423497
118.3,18,1.425136
102.4,26,1.427493
84.3,57,1.4326
26.1,40,1.436194
86.7,33,1.439159
85.1,45,1.443192
102.2,28,1.44573
72.2,29,1.448336
57.2,28,1.450865
86.7,32,1.453745
72.5,24,1.455901
87.3,27,1.458389
25.8,43,1.462268
72.4,26,1.464614
40.4,46,1.468725
87.2,28,1.471253
71.4,36,1.474499
26.3,38,1.47791
101.2,38,1.481339
102.3,28,1.483862
86.0,40,1.48742
72.4,27,1.489871
132.9,20,1.491678
57.4,26,1.494023
117.8,21,1.495925
57.1,28,1.498443
72.0,29,1.501058
102.3,27,1.503487
103.1,19,1.505217
131.9,30,1.507923
88.3,17,1.509471
56.8,32,1.512318
103.0,20,1.514126
41.9,30,1.516815
71.3,37,1.52014
87.2,28,1.522648
116.7,33,1.525604
71.7,34,1.528649
56.5,35,1.531781
72.7,23,1.72707
103.1,19,1.728799
88.5,15,1.73015
101.9,29,1.732714
101.9,31,1.735419
88.5,15,1.736764
103.0,20,1.738521
87.3,27,1.740897
87.5,25,1.743091
87.8,22,1.745101
88.1,19,1.747018
87.8,23,1.749388
56.6,34,1.752641
102.8,22,1.754737
101.9,31,1.757536
103.0,20,1.759498
102.4,26,1.762108
117.2,28,1.764874
101.9,31,1.767955
88.0,21,1.770299
88.2,19,1.772072
86.8,33,1.775237
103.3,17,1.776913
88.2,20,1.778917
57.8,22,1.780987
88.2,18,1.782709
86.8,32,1.785922
57.0,30,1.788774
72.9,21,1.790845
86.6,32,1.793891
87.5,25,1.796219
117.8,22,1.798537
73.2,18,1.800277
42.2,28,1.802936
88.2,18,1.804641
41.7,33,1.80773
72.9,22,1.809749
103.5,15,1.811164
103.4,18,1.812783
87.3,25,1.815129
102.9,21,1.817221
88.2,17,1.818941
87.9,21,1.820999
88.0,20,1.822878
72.8,22,1.824907
73.0,20,1.826844
56.7,34,1.830049
56.4,35,1.8334
117.8,22,1.835489
102.7,23,1.837596
87.9,21,1.83966
87.8,21,1.841645
88.4,18,1.84342
57.6,25,1.845774
